_timeslice,hostname,_count
00:00.0,*.usatoday.com,1411965
00:00.0,*.azcentral.com,256473
00:00.0,*.tennessean.com,171419
00:00.0,*.freep.com,167282
00:00.0,*.indystar.com,142786
00:00.0,*.desmoinesregister.com,136946
00:00.0,*.jsonline.com,127777
00:00.0,*.detroitnews.com,121487
00:00.0,*.courier-journal.com,116782
00:00.0,*.northjersey.com,109255
00:00.0,*.cincinnati.com,108760
00:00.0,*.democratandchronicle.com,102749
00:00.0,*.lohud.com,97187
00:00.0,*.app.com,94995
00:00.0,*.knoxnews.com,78051
00:00.0,*.delawareonline.com,77547
00:00.0,*.tallahassee.com,75715
00:00.0,*.coloradoan.com,74098
00:00.0,*.caller.com,68543
00:00.0,*.statesmanjournal.com,64827
00:00.0,*.production.gannettdigital.com,62966
00:00.0,*.pnj.com,60494
00:00.0,*.floridatoday.com,60037
00:00.0,*.greenbaypressgazette.com,57902
00:00.0,*.rgj.com,57490
00:00.0,*.argusleader.com,56956
00:00.0,*.news-press.com,56179
00:00.0,*.clarionledger.com,56052
00:00.0,*.greatfallstribune.com,54094
00:00.0,*.commercialappeal.com,53577
00:00.0,*.poughkeepsiejournal.com,48509
00:00.0,*.theadvertiser.com,48260
00:00.0,*.tcpalm.com,46956
00:00.0,*.citizen-times.com,46916
00:00.0,*.montgomeryadvertiser.com,46355
00:00.0,*.dailyrecord.com,46291
00:00.0,*.greenvilleonline.com,44571
00:00.0,*.ydr.com,43276
00:00.0,*.desertsun.com,42406
00:00.0,*.naplesnews.com,41989
00:00.0,*.sctimes.com,41359
00:00.0,*.shreveporttimes.com,39947
00:00.0,*.burlingtonfreepress.com,39463
00:00.0,*.lansingstatejournal.com,38571
00:00.0,*.vcstar.com,37688
00:00.0,*.news-leader.com,35891
00:00.0,*.mycentraljersey.com,34973
00:00.0,*.courierpostonline.com,34591
00:00.0,*.jconline.com,34191
00:00.0,*.thetimesherald.com,33701
00:00.0,*.visaliatimesdelta.com,33318
00:00.0,*.elpasotimes.com,32446
00:00.0,*.courierpress.com,31881
00:00.0,*.pal-item.com,31845
00:00.0,*.pressconnects.com,31475
00:00.0,*.postcrescent.com,30932
00:00.0,*.dnj.com,29713
00:00.0,*.thestarpress.com,29160
00:00.0,*.lcsun-news.com,28709
00:00.0,*.mansfieldnewsjournal.com,28433
00:00.0,*.battlecreekenquirer.com,28128
00:00.0,*.guampdn.com,26659
00:00.0,*.newsleader.com,25778
00:00.0,*.press-citizen.com,25615
00:00.0,*.htrnews.com,24863
00:00.0,*.delmarvanow.com,24794
00:00.0,*.yorkdispatch.com,24257
00:00.0,*.jacksonsun.com,24252
00:00.0,*.fdlreporter.com,23832
00:00.0,*.eveningsun.com,23001
00:00.0,*.ldnews.com,22503
00:00.0,*.newarkadvocate.com,22448
00:00.0,*.stargazette.com,22332
00:00.0,*.kitsapsun.com,21735
00:00.0,*.ithacajournal.com,21333
00:00.0,*.thespectrum.com,20535
00:00.0,*.thenewsstar.com,20232
00:00.0,*.timesrecordnews.com,20014
00:00.0,*.bucyrustelegraphforum.com,19539
00:00.0,*.thedailyjournal.com,19270
00:00.0,*.chillicothegazette.com,18988
00:00.0,*.packersnews.com,17720
00:00.0,*.thenorthwestern.com,17699
00:00.0,*.theleafchronicle.com,17597
00:00.0,*.hattiesburgamerican.com,17442
00:00.0,*.reporternews.com,16482
00:00.0,*.daily-times.com,16355
00:00.0,*.thetowntalk.com,16141
00:00.0,*.hometownlife.com,16126
00:00.0,*.redding.com,16016
00:00.0,*.baxterbulletin.com,15782
00:00.0,*.sheboyganpress.com,15692
00:00.0,*.coshoctontribune.com,15666
00:00.0,*.stevenspointjournal.com,15243
00:00.0,*.hawkcentral.com,13188
00:00.0,*.wisconsinrapidstribune.com,12977
00:00.0,*.thenews-messenger.com,12792
00:00.0,*.zanesvilletimesrecorder.com,12612
00:00.0,*.gosanangelo.com,12595
00:00.0,*.marshfieldnewsherald.com,12549
00:00.0,*.marionstar.com,12438
00:00.0,*.thecalifornian.com,12328
00:00.0,*.ruidosonews.com,12307
00:00.0,*.wausaudailyherald.com,11768
00:00.0,*.blackmountainnews.com,11678
00:00.0,*.publicopiniononline.com,10623
00:00.0,*.lancastereaglegazette.com,10413
00:00.0,*.alamogordonews.com,10181
00:00.0,*.demingheadlight.com,10141
00:00.0,*.livingstondaily.com,9504
00:00.0,*.scsun-news.com,9148
00:00.0,*.independentmail.com,9125
00:00.0,*.currentargus.com,9108
00:00.0,*.dailyworld.com,8912
00:00.0,*.wisfarmer.com,8340
00:00.0,*.delawarebeaches.com,7677
00:00.0,*.lavozarizona.com,7044
00:00.0,*.portclintonnewsherald.com,6920
00:00.0,*.dmjuice.com,6749
00:00.0,*.thegleaner.com,5824
00:00.0,*.upstateparent.com,5465
00:00.0,*.marconews.com,4830
00:00.0,*.farmersadvance.com,4351
00:00.0,*.centralfloridafuture.com,3935
00:00.0,*.thehammontonnews.com,3194
00:00.0,*.fsunews.com,2923
00:00.0,*.reno.com,2807
00:00.0,*.gametimepa.com,1612
00:00.0,*.elsoldesalinas.com,792
00:00.0,*.flipsidepa.com,317
00:00.0,*.elpasoymas.com,303
00:00.0,*.inyork.com,12
00:00.0,*.metroparentmagazine.com,2
